name,year,constructor,illustration,3d_model
RB18,2022,constructor_9,https://www.formula1.com/content/dam/fom-website/teams/2023/red-bull-racing.png,https://sketchfab.com/models/26b2dadebf74429c8a9e1b83896d5bb7/embed?dnt=1
C42,2022,constructor_51,https://www.formula1.com/content/dam/fom-website/teams/2022/alfa-romeo.png,https://sketchfab.com/models/d4b237be04dc4d43ab724d2239a5cb01/embed?dnt=1
A522,2022,constructor_214,https://www.formula1.com/content/dam/fom-website/teams/2022/alpine.png,https://sketchfab.com/models/e9a6fd7b747c4c26b70d3f0ceee652f9/embed?dnt=1
AMR22,2022,constructor_117,https://www.formula1.com/content/dam/fom-website/teams/2022/aston-martin.png,https://sketchfab.com/models/a07d8c23ff6d4b29ab418ea8d9b4567d/embed?dnt=1
F1-75,2022,constructor_6,https://www.formula1.com/content/dam/fom-website/teams/2022/ferrari.png,https://sketchfab.com/models/6a2c55d7a2c34f96a184738083e172eb/embed?dnt=1
MCL36,2022,constructor_1,https://www.formula1.com/content/dam/fom-website/teams/2022/mclaren.png,https://sketchfab.com/models/2fca3e96c1a245b8a7f3707c7bab10f1/embed?dnt=1
W13,2022,constructor_131,https://www.formula1.com/content/dam/fom-website/teams/2022/mercedes.png,https://sketchfab.com/models/3595f3ad1aef444d857d1e61d9705a44/embed?dnt=1
VF-22,2022,constructor_210,https://www.formula1.com/content/dam/fom-website/teams/2022/haas-f1-team.png,
FW44,2022,constructor_3,https://www.formula1.com/content/dam/fom-website/teams/2022/williams.png,
AT03,2022,constructor_213,https://www.formula1.com/content/dam/fom-website/teams/2022/alphatauri.png,
MCL33,2018,constructor_1,,https://sketchfab.com/models/6eb097a885504c5bb666bc13951c9dbf/embed?dnt=1
MCL32,2017,constructor_1,,https://sketchfab.com/models/070ab510511c4916ade23c477a766204/embed?dnt=1
MCL35,2020,constructor_1,,https://sketchfab.com/models/967ecec37468412083c40c62b3d7234d/embed?dnt=1
MP4/8,1993,constructor_1,,https://sketchfab.com/models/a601906f9f474c049d2659c97fe509dc/embed?dnt=1
MP4-29,2014,constructor_1,,https://sketchfab.com/models/cac2f1e0250e4a10bbda5859e5d72fb1/embed?dnt=1
W03,2012,constructor_131,,https://sketchfab.com/models/2c5582dca7d6436ab986e00814554a2a/embed?dnt=1
W11,2020,constructor_131,,https://sketchfab.com/models/aeb8ed9bd3e24741a3b06029e8454d54/embed?dnt=1
RB6,2010,constructor_9,,https://sketchfab.com/models/40fac35927e44cd39f2a45d07cc42f79/embed?dnt=1
RB8,2012,constructor_9,,https://sketchfab.com/models/bd47e41df946478ba1a2b10644418b6d/embed?dnt=1
FW38,2016,constructor_3,,https://sketchfab.com/models/398c612a1f5b444fad2a4b81908d0126/embed?dnt=1
FW41,2018,constructor_3,,https://sketchfab.com/models/757a04587c6b4fed849b32075e5b3c61/embed?dnt=1
FW43,2020,constructor_3,,https://sketchfab.com/models/a2c3e0b054bb4c41bedf3b3e786d29da/embed?dnt=1
FW28,2006,constructor_3,,https://sketchfab.com/models/b90e9be341d24e94ad3d799a2baa874e/embed?dnt=1
"F2004 ",2004,constructor_6,,https://sketchfab.com/models/6f08fa11e386499dbff13944d4b7711e/embed?dnt=1
SF1000,2020,constructor_6,,https://sketchfab.com/models/47bf3c036c3d4bd7be5ddae7efba0afe/embed?dnt=1
F2012,2012,constructor_6,,https://sketchfab.com/models/79627a11b39f4538a4f5bb21001486cd/embed?dnt=1
SF90,2019,constructor_6,,https://sketchfab.com/models/657b6440a8394d9c89a839316fc2525b/embed?dnt=1
C38,2019,constructor_51,,https://sketchfab.com/models/68c1b8568da246e5b1b1a223dfd01741/embed?dnt=1
C37,2018,constructor_51,,https://sketchfab.com/models/8bfd95d0d0164041b42ebaac0fcb65c1/embed?dnt=1
AT02,2021,constructor_213,,https://sketchfab.com/models/e15675a76ea9422b877ea4145313584b/embed?dnt=1
A521,2021,constructor_214,,https://sketchfab.com/models/db81e737983e4b3d905140192fe86130/embed?ui_infos=0&dnt=1